id,sale_date,car_brand,car_model,quantity_sold,price_per_unit,total_revenue
537,2020-02,Honda,Element,36,30239,1088604
538,2020-01,GMC,Sierra,29,70227,2036583
539,2020-02,Chevrolet,Camaro,38,18301,695438
540,2020-08,Toyota,Celica,41,77963,3196483
541,2020-09,Ford,Escape,36,23792,856512
542,2020-02,Ford,Escort,9,48896,440064
543,2020-10,Volvo,C30,18,41442,745956
544,2020-12,Nissan,GT-R,33,82332,2716956
545,2020-09,Mercury,Topaz,13,34086,443118
546,2020-09,Buick,Park Avenue,31,74153,2298743
547,2020-04,Honda,Insight,8,10274,82192
548,2020-04,GMC,Yukon,50,71931,3596550
549,2020-03,Infiniti,G,48,70871,3401808
550,2020-06,Lamborghini,Countach,46,75341,3465686
551,2020-11,Mitsubishi,Lancer,10,65368,653680
552,2020-02,Volkswagen,GTI,42,59249,2488458
553,2020-10,Volvo,S60,19,13059,248121
554,2020-10,Audi,A6,2,34517,69034
555,2020-11,Chevrolet,Express 3500,18,99384,1788912
556,2020-03,Mazda,B-Series,22,86497,1902934
557,2020-06,BMW,525,39,74410,2901990
558,2020-04,Mercedes-Benz,300CE,41,68242,2797922
559,2020-01,Ford,Club Wagon,2,81419,162838
560,2020-06,Volkswagen,Eos,13,55932,727116
561,2020-09,Buick,Lucerne,8,61763,494104
562,2020-04,Pontiac,Firefly,36,22351,804636
563,2020-11,Pontiac,Torrent,46,79348,3650008
564,2020-09,Acura,Integra,10,34380,343800
565,2020-12,Lotus,Exige,38,94202,3579676
566,2020-11,Audi,S5,31,22008,682248
567,2020-04,Oldsmobile,Bravada,41,68753,2818873
568,2020-07,Oldsmobile,Silhouette,37,49056,1815072
569,2020-11,GMC,Vandura G1500,16,77362,1237792
570,2020-07,Buick,LeSabre,32,50712,1622784
571,2020-08,Subaru,Outback,34,79916,2717144
572,2020-02,GMC,Sierra 1500,12,86338,1036056
573,2020-06,BMW,530,14,42074,589036
574,2020-05,Ford,E-Series,29,20539,595631
575,2020-10,Mercury,Topaz,48,51264,2460672
576,2020-12,Jaguar,XJ Series,22,74721,1643862
577,2020-06,Mazda,626,47,96537,4537239
578,2020-03,Ford,Aerostar,10,85925,859250
579,2020-04,GMC,Sonoma,9,10523,94707
580,2020-01,Mitsubishi,Diamante,39,70644,2755116
581,2020-10,Dodge,Stratus,11,25424,279664
582,2020-01,Volvo,C70,44,42240,1858560
583,2020-12,Ford,Aspire,45,70949,3192705
584,2020-06,Ford,E350,3,24790,74370
585,2020-07,Honda,Ridgeline,35,85076,2977660
586,2020-01,Lamborghini,Gallardo,49,65233,3196417
587,2020-10,Pontiac,Bonneville,10,54145,541450
588,2020-12,Oldsmobile,Silhouette,26,67481,1754506
589,2020-12,Audi,A3,35,38630,1352050
590,2020-10,Scion,tC,50,88018,4400900
591,2020-10,Ford,F350,14,48819,683466
592,2020-01,Dodge,Ram 1500 Club,38,81064,3080432
593,2020-09,Chrysler,300M,9,26391,237519
594,2020-01,Honda,Prelude,25,94833,2370825
595,2020-08,Morgan,Aero 8,9,53465,481185
596,2020-11,Citroën,2CV,10,50232,502320
597,2020-01,Ford,E-Series,29,96312,2793048
598,2020-06,Bentley,Continental GT,48,94120,4517760
599,2020-09,Toyota,Tercel,25,18938,473450
600,2020-02,Nissan,Altima,47,75559,3551273
601,2020-06,Mazda,Miata MX-5,21,82129,1724709
602,2020-09,Mercedes-Benz,M-Class,44,30957,1362108
603,2020-09,Oldsmobile,Aurora,1,83385,83385
604,2020-12,Mitsubishi,Mirage,31,69179,2144549
605,2020-05,BMW,3 Series,4,99600,398400
606,2020-01,BMW,3 Series,32,23466,750912
607,2020-01,Mitsubishi,Chariot,23,55165,1268795
608,2020-02,Ford,E350,19,28175,535325
609,2020-09,Pontiac,Bonneville,6,49356,296136
610,2020-10,Acura,Integra,11,49849,548339
611,2020-04,Chevrolet,Camaro,24,64574,1549776
612,2020-08,GMC,Jimmy,9,22874,205866
613,2020-06,Oldsmobile,Intrigue,13,14910,193830
614,2020-04,Buick,Century,3,72204,216612
615,2020-07,Honda,CR-V,47,29370,1380390
616,2020-12,Toyota,Celica,7,12944,90608
617,2020-08,Ford,Fairlane,17,62432,1061344
618,2020-12,Ford,Aerostar,25,48741,1218525
619,2020-04,Toyota,Highlander,47,13280,624160
620,2020-02,Chevrolet,Silverado,39,72944,2844816
621,2020-05,Mitsubishi,GTO,17,50443,857531
622,2020-08,Audi,RS4,30,34870,1046100
623,2020-06,Dodge,Ram 1500,34,42784,1454656
624,2020-07,BMW,X5 M,43,67918,2920474
625,2020-12,Buick,LeSabre,34,75492,2566728
626,2020-01,Dodge,D350 Club,23,95056,2186288
627,2020-06,Jaguar,XK,32,56746,1815872
628,2020-07,Subaru,Forester,43,13147,565321
629,2020-07,Cadillac,DeVille,34,65942,2242028
630,2020-07,Lincoln,LS,29,45624,1323096
631,2020-06,Ford,Expedition,15,81537,1223055
632,2020-05,Lamborghini,Diablo,37,44977,1664149
633,2020-10,Audi,A6,27,44052,1189404
634,2020-02,Volvo,C30,16,88185,1410960
635,2020-09,Mazda,Miata MX-5,41,85473,3504393
636,2020-09,Mazda,RX-7,21,56300,1182300
637,2020-04,Infiniti,Q,30,71405,2142150
638,2020-08,Mazda,CX-7,22,71763,1578786
639,2020-06,Toyota,T100,44,69135,3041940
640,2020-02,Land Rover,Range Rover Evoque,6,41554,249324
641,2020-12,Chevrolet,Cavalier,18,20468,368424
642,2020-05,Volkswagen,GTI,20,17213,344260
643,2020-04,Lincoln,Navigator,12,28247,338964
644,2020-07,Nissan,240SX,24,25478,611472
645,2020-04,BMW,1 Series,12,97650,1171800
646,2020-05,Land Rover,Discovery Series II,36,44039,1585404
647,2020-06,BMW,M3,24,83589,2006136
648,2020-02,Maserati,GranTurismo,19,90004,1710076
649,2020-10,Ford,E150,4,48472,193888
650,2020-09,Lexus,SC,7,60538,423766
651,2020-04,GMC,Sierra Denali,5,90335,451675
652,2020-01,Chevrolet,Cavalier,3,12255,36765
653,2020-04,Chevrolet,Express 1500,41,30870,1265670
654,2020-03,Ford,Ranger,6,24725,148350
655,2020-09,BMW,550,6,99857,599142
656,2020-05,Audi,A4,38,52909,2010542
657,2020-08,Volvo,S40,38,80383,3054554
658,2020-05,Ford,Ranger,1,15959,15959
659,2020-10,Chevrolet,Express 1500,11,97942,1077362
660,2020-04,GMC,Yukon XL 2500,5,19785,98925
661,2020-09,Nissan,Sentra,15,49410,741150
662,2020-02,GMC,Yukon Denali,18,50986,917748
663,2020-01,Mazda,Miata MX-5,10,33820,338200
664,2020-07,Oldsmobile,Silhouette,7,82842,579894
665,2020-02,Volkswagen,Golf,22,70804,1557688
666,2020-07,Cadillac,XLR-V,18,98704,1776672
667,2020-02,Kia,Rondo,10,87678,876780
668,2020-09,Buick,Skylark,7,91863,643041
669,2020-03,Lexus,LX,29,59195,1716655
670,2020-01,Morgan,Aero 8,46,66400,3054400
671,2020-05,Maserati,430,31,95289,2953959
672,2020-06,BMW,X3,25,87858,2196450
673,2020-08,Isuzu,i-370,44,61445,2703580
674,2020-06,Mitsubishi,Lancer,28,72681,2035068
675,2020-02,Cadillac,CTS-V,47,16774,788378
676,2020-07,Mazda,B-Series Plus,11,45399,499389
677,2020-01,Buick,Roadmaster,19,14850,282150
678,2020-11,Chevrolet,Tracker,21,96277,2021817
679,2020-04,BMW,5 Series,10,61647,616470
680,2020-03,Lamborghini,Diablo,12,69272,831264
681,2020-01,Rolls-Royce,Phantom,42,80604,3385368
682,2020-02,Ford,Edge,31,83705,2594855
683,2020-09,Ford,Mustang,42,24205,1016610
684,2020-05,GMC,Savana 2500,21,54405,1142505
685,2020-09,Ford,Probe,19,58702,1115338
686,2020-05,Dodge,Ram 3500,15,72228,1083420
687,2020-05,Lexus,ES,33,63891,2108403
688,2020-02,Chevrolet,Colorado,24,74672,1792128
689,2020-11,Hyundai,Elantra,27,44442,1199934
690,2020-09,BMW,3 Series,2,41433,82866
691,2020-04,Toyota,Celica,15,66349,995235
692,2020-06,Chevrolet,Silverado 3500,18,71630,1289340
693,2020-08,Buick,Regal,47,51752,2432344
694,2020-12,Dodge,Ram Van 1500,23,67682,1556686
695,2020-11,Suzuki,Sidekick,34,58974,2005116
696,2020-02,Geo,Prizm,39,43872,1711008
697,2020-03,Mazda,B-Series,31,84413,2616803
698,2020-11,Suzuki,SJ,38,50350,1913300
699,2020-01,Mazda,B-Series,21,23752,498792
700,2020-08,Audi,S4,25,62238,1555950
701,2020-10,Buick,LeSabre,31,66351,2056881
702,2020-06,Ford,Taurus,14,78953,1105342
703,2020-10,Ford,Taurus,50,90319,4515950
704,2020-03,Land Rover,Range Rover,20,82106,1642120
705,2020-03,Audi,V8,31,97104,3010224
706,2020-02,Audi,A4,15,78466,1176990
707,2020-04,Toyota,Tacoma,27,24694,666738
708,2020-08,Chevrolet,TrailBlazer,15,69307,1039605
709,2020-03,Mercedes-Benz,CLK-Class,1,37318,37318
710,2020-12,Chevrolet,Venture,2,89528,179056
711,2020-03,Volvo,C70,18,16127,290286
712,2020-02,Ford,EXP,3,57092,171276
713,2020-08,Ford,Taurus,32,58211,1862752
714,2020-12,Hyundai,Elantra,39,44348,1729572
715,2020-01,GMC,Sonoma,12,69486,833832
716,2020-12,Nissan,350Z,4,47192,188768
717,2020-06,Mitsubishi,Truck,11,90679,997469
718,2020-05,Honda,Odyssey,47,59374,2790578
719,2020-05,Ford,F-Series,16,83694,1339104
720,2020-09,Chevrolet,Tahoe,9,53945,485505
721,2020-02,Ford,Explorer,48,12720,610560
722,2020-09,Nissan,350Z Roadster,37,36377,1345949
723,2020-08,Isuzu,Trooper,17,37709,641053
724,2020-02,Ford,E-Series,50,22705,1135250
725,2020-06,GMC,Savana 3500,20,47682,953640
726,2020-09,Suzuki,XL-7,41,18393,754113
727,2020-08,GMC,Sierra 1500,37,47302,1750174
728,2020-07,Suzuki,Aerio,18,24906,448308
729,2020-12,Ford,LTD Crown Victoria,29,66713,1934677
730,2020-02,Chevrolet,Corvette,27,97317,2627559
731,2020-07,Mercedes-Benz,SLK-Class,24,34384,825216
732,2020-07,Toyota,Sienna,20,77552,1551040
733,2020-06,BMW,M3,17,53218,904706
734,2020-08,Hyundai,Azera,7,35942,251594
735,2020-11,Pontiac,Grand Prix,38,86456,3285328
736,2020-01,Pontiac,Tempest,20,21788,435760
737,2020-06,Mercedes-Benz,E-Class,44,63546,2796024
738,2020-09,Lexus,GX,10,85824,858240
739,2020-06,Buick,Riviera,17,19486,331262
740,2020-05,Toyota,Corolla,37,40314,1491618
741,2020-02,Nissan,Frontier,30,12395,371850
742,2020-10,Porsche,Cayenne,20,30706,614120
743,2020-06,Lotus,Esprit,18,32647,587646
744,2020-10,Nissan,Altima,50,46275,2313750
745,2020-09,Toyota,RAV4,47,44781,2104707
746,2020-10,Nissan,Frontier,12,41414,496968
747,2020-02,Dodge,Ram Wagon B250,30,87744,2632320
748,2020-03,Aston Martin,DBS,20,70413,1408260
749,2020-03,Lexus,SC,3,55019,165057
750,2020-05,Chrysler,Sebring,11,54792,602712
751,2020-08,Mitsubishi,Endeavor,40,93550,3742000
752,2020-02,Oldsmobile,Intrigue,41,74160,3040560
753,2020-04,Pontiac,Sunbird,49,67024,3284176
754,2020-10,Acura,RSX,29,80726,2341054
755,2020-01,Ford,F150,23,25597,588731
756,2020-02,Ford,Ranger,24,60112,1442688
757,2020-12,Mazda,Miata MX-5,36,10298,370728
758,2020-05,Ford,Ranger,31,68623,2127313
759,2020-09,Mitsubishi,Eclipse,47,21530,1011910
760,2020-11,Mazda,CX-9,10,99510,995100
761,2020-12,Land Rover,Range Rover,37,34801,1287637
762,2020-12,Ford,Transit Connect,40,53751,2150040
763,2020-01,Infiniti,Q,11,40663,447293
764,2020-12,Audi,A6,48,62008,2976384
765,2020-11,BMW,760,14,26389,369446
766,2020-09,BMW,M6,16,90630,1450080
767,2020-01,Dodge,Ram 50,7,94531,661717
768,2020-05,Lamborghini,Aventador,14,27754,388556
769,2020-10,Chrysler,Town & Country,39,27519,1073241
770,2020-08,Ford,Contour,41,44962,1843442
771,2020-03,GMC,Yukon XL 2500,38,89218,3390284
772,2020-08,Pontiac,Sunbird,47,11329,532463
773,2020-04,Ford,Taurus,30,32211,966330
774,2020-11,Mazda,MX-5,39,48332,1884948
775,2020-10,Pontiac,G3,26,89924,2338024
776,2020-03,Chevrolet,Express 3500,47,71491,3360077
777,2020-01,Suzuki,Swift,42,27021,1134882
778,2020-10,Buick,LaCrosse,16,47381,758096
779,2020-01,Chevrolet,Malibu,47,42652,2004644
780,2020-07,Volvo,S60,13,10847,141011
781,2020-08,Morgan,Aero 8,49,87175,4271575
782,2020-05,Lexus,LS,2,52052,104104
783,2020-01,Ford,Windstar,45,38557,1735065
784,2020-05,Chevrolet,Express 3500,50,70505,3525250
785,2020-05,Mercedes-Benz,R-Class,34,10427,354518
786,2020-06,Buick,Riviera,7,67006,469042
787,2020-05,MINI,Clubman,27,15528,419256
788,2020-07,Mercedes-Benz,CL-Class,17,51245,871165
789,2020-07,Porsche,911,40,65809,2632360
790,2020-12,Chevrolet,Camaro,31,70249,2177719
791,2020-07,Mercedes-Benz,500SEL,38,71886,2731668
792,2020-09,Mitsubishi,Montero Sport,27,52026,1404702
793,2020-10,Mazda,626,39,35391,1380249
794,2020-08,Nissan,Rogue,10,21794,217940
795,2020-01,Land Rover,Discovery,29,73140,2121060
796,2020-08,Mazda,MPV,2,52631,105262
797,2020-02,Chevrolet,Corvette,19,33544,637336
798,2020-05,Pontiac,Montana,43,15488,665984
799,2020-04,Nissan,NV1500,35,23139,809865
800,2020-11,Suzuki,Sidekick,13,44103,573339
801,2020-05,Audi,A3,32,77028,2464896
802,2020-04,Chevrolet,HHR,4,13348,53392
803,2020-09,Ford,E-Series,38,62968,2392784
804,2020-10,Chevrolet,Aveo,43,18267,785481
805,2020-03,BMW,1 Series,7,54934,384538
806,2020-05,Ford,Econoline E350,34,38153,1297202
807,2020-12,Ford,Expedition,16,41512,664192
808,2020-01,Nissan,Murano,28,80325,2249100
809,2020-05,Porsche,928,47,10403,488941
810,2020-10,Volkswagen,Golf,31,37985,1177535
811,2020-01,Dodge,Caravan,30,68581,2057430
812,2020-10,Ford,Crown Victoria,26,67303,1749878
813,2020-07,Dodge,Magnum,29,56864,1649056
814,2020-05,Hyundai,Elantra,29,42846,1242534
815,2020-01,Geo,Prizm,49,98236,4813564
816,2020-12,GMC,Canyon,25,86003,2150075
817,2020-01,Aston Martin,V8 Vantage,6,77649,465894
818,2020-12,Buick,Century,7,66333,464331
819,2020-08,Volkswagen,Eurovan,26,32179,836654
820,2020-01,Mitsubishi,Lancer Evolution,46,46288,2129248
821,2020-10,Honda,Element,42,82086,3447612
822,2020-06,Jeep,Patriot,34,18729,636786
823,2020-05,Subaru,Outback,36,12659,455724
824,2020-12,Chevrolet,Silverado 3500,48,14882,714336
825,2020-05,Mitsubishi,Tundra,45,24814,1116630
826,2020-05,Mercury,Capri,44,77332,3402608
827,2020-01,Cadillac,Escalade EXT,26,72429,1883154
828,2020-11,Honda,CR-V,13,99506,1293578
829,2020-10,GMC,1500,20,50106,1002120
830,2020-01,Lincoln,Continental Mark VII,23,28758,661434
831,2020-06,Cadillac,Escalade ESV,17,18480,314160
832,2020-03,Volkswagen,Jetta,46,39764,1829144
833,2020-06,Chevrolet,Corsica,44,71973,3166812
834,2020-03,Buick,Regal,22,83027,1826594
835,2020-01,Oldsmobile,Silhouette,6,16506,99036
836,2020-02,Mercedes-Benz,SL-Class,50,61153,3057650
837,2020-04,GMC,Canyon,47,50505,2373735
838,2020-11,Ford,Focus,38,32352,1229376
839,2020-04,Chevrolet,Silverado,8,16593,132744
840,2020-01,Land Rover,LR2,4,86677,346708
841,2020-01,Ford,Windstar,13,83263,1082419
842,2020-08,Ford,Focus,4,30935,123740
843,2020-11,Infiniti,G,37,88999,3292963
844,2020-04,Acura,RL,20,18533,370660
845,2020-07,Chevrolet,Express 2500,36,24019,864684
846,2020-09,Toyota,Highlander,24,72074,1729776
847,2020-10,Oldsmobile,Silhouette,50,53670,2683500
848,2020-03,Dodge,Nitro,46,37750,1736500
849,2020-12,Lexus,GS,3,17507,52521
850,2020-06,Toyota,Sienna,47,47317,2223899
851,2020-07,Bentley,Continental GTC,16,11553,184848
852,2020-12,Mazda,MX-6,7,25042,175294
853,2020-02,Mitsubishi,Pajero,47,67261,3161267
854,2020-09,Lexus,LS,31,51280,1589680
855,2020-01,Nissan,GT-R,34,49138,1670692
856,2020-08,Mazda,Tribute,36,40989,1475604
857,2020-02,Studebaker,Avanti,47,75147,3531909
858,2020-02,Porsche,944,48,71862,3449376
859,2020-07,Oldsmobile,LSS,7,29804,208628
860,2020-03,Mitsubishi,Mirage,40,65657,2626280
861,2020-12,Toyota,Xtra,13,85990,1117870
862,2020-09,Lincoln,Mark VII,29,74252,2153308
863,2020-11,Pontiac,GTO,36,97840,3522240
864,2020-11,Chevrolet,HHR,30,50728,1521840
865,2020-03,Mercedes-Benz,SL-Class,25,89162,2229050
866,2020-01,Mercedes-Benz,SL65 AMG,32,27780,888960
867,2020-01,Lexus,LS,35,25984,909440
868,2020-08,Chevrolet,Suburban 1500,1,80007,80007
869,2020-05,Nissan,Altima,20,12630,252600
870,2020-12,Toyota,Tacoma Xtra,41,87492,3587172
871,2020-02,Nissan,Sentra,35,60146,2105110
872,2020-06,Lexus,LX,16,60852,973632
873,2020-09,Toyota,Celica,33,41469,1368477
874,2020-10,Cadillac,Escalade,4,63781,255124
875,2020-09,GMC,Yukon XL 2500,39,93235,3636165
876,2020-05,Mitsubishi,Truck,47,43845,2060715
877,2020-02,Porsche,Carrera GT,50,54938,2746900
878,2020-02,Audi,S4,10,56197,561970
879,2020-05,Ford,Ranger,36,63620,2290320
880,2020-03,Ford,E150,49,14349,703101
881,2020-11,Dodge,Spirit,37,83908,3104596
882,2020-07,GMC,Sonoma,8,45899,367192
883,2020-06,Chevrolet,Sportvan G20,42,99742,4189164
884,2020-06,Buick,Enclave,30,54918,1647540
885,2020-11,Plymouth,Voyager,10,47082,470820
886,2020-08,Ford,E-Series,2,60941,121882
887,2020-03,Volkswagen,Passat,17,65597,1115149
888,2020-08,Mazda,Protege,12,26746,320952
889,2020-06,Nissan,Cube,9,77107,693963
890,2020-03,Volvo,S80,36,14919,537084
891,2020-11,Lincoln,LS,15,37505,562575
892,2020-02,Peugeot,207,11,50978,560758
893,2020-10,Audi,V8,26,36836,957736
894,2020-06,Ford,F-Series Super Duty,25,34441,861025
895,2020-07,Mazda,Mazdaspeed 3,2,12587,25174
896,2020-07,Mercedes-Benz,500SEL,45,80974,3643830
897,2020-05,Mazda,B-Series,15,44558,668370
898,2020-01,Lincoln,Mark VII,36,70407,2534652
899,2020-05,Dodge,Ram 3500,19,63230,1201370
900,2020-09,BMW,7 Series,30,89991,2699730
901,2020-02,Volkswagen,Golf III,49,66975,3281775
902,2020-10,Plymouth,Sundance,46,41410,1904860
903,2020-03,Audi,RS6,24,62637,1503288
904,2020-05,Oldsmobile,Aurora,36,42438,1527768
905,2020-05,Dodge,Ram 2500,37,56877,2104449
906,2020-11,Volkswagen,Golf,19,86678,1646882
907,2020-11,Lexus,IS,40,69215,2768600
908,2020-08,Chevrolet,Suburban 2500,28,67088,1878464
909,2020-11,Mazda,Miata MX-5,47,41418,1946646
910,2020-11,Ford,Crown Victoria,39,95073,3707847
911,2020-06,Mitsubishi,Cordia,3,85037,255111
912,2020-02,Mitsubishi,Lancer Evolution,12,13423,161076
913,2020-12,Chrysler,Town & Country,24,97434,2338416
914,2020-04,Saab,9-7X,4,34698,138792
915,2020-08,Honda,Odyssey,7,39771,278397
916,2020-03,Mercedes-Benz,S-Class,16,22386,358176
917,2020-07,Mazda,MX-5,15,52852,792780
918,2020-05,Ford,F150,46,82831,3810226
919,2020-11,Hyundai,Tiburon,14,29416,411824
920,2020-10,Volkswagen,Passat,22,99511,2189242
921,2020-03,Ford,Transit Connect,40,84291,3371640
922,2020-11,Mitsubishi,L300,26,70463,1832038
923,2020-03,Mitsubishi,Eclipse,20,61880,1237600
924,2020-03,Land Rover,Freelander,42,67164,2820888
925,2020-05,Chevrolet,Uplander,37,88795,3285415
926,2020-01,Chevrolet,Corvette,15,14429,216435
927,2020-07,Audi,4000CS Quattro,16,80397,1286352
928,2020-02,Honda,Pilot,20,45767,915340
929,2020-12,Mitsubishi,Truck,6,34174,205044
930,2020-05,Cadillac,DeVille,20,16182,323640
931,2020-08,Ford,F-Series,43,97873,4208539
932,2020-06,Chevrolet,Express 2500,20,49242,984840
933,2020-04,Mercedes-Benz,M-Class,38,46677,1773726
934,2020-12,Buick,Century,37,99753,3690861
935,2020-10,BMW,525,24,34111,818664
936,2020-02,Lotus,Exige,19,91752,1743288
937,2020-04,Acura,NSX,1,55055,55055
938,2020-04,Jeep,Wrangler,11,63965,703615
939,2020-04,Ford,Courier,7,93790,656530
940,2020-05,Toyota,Land Cruiser,21,38499,808479
941,2020-12,Volvo,V70,15,90791,1361865
942,2020-03,Mercedes-Benz,300SD,37,29313,1084581
943,2020-08,Lincoln,Town Car,2,48658,97316
944,2020-01,Oldsmobile,Cutlass Cruiser,4,90363,361452
945,2020-04,GMC,Savana 3500,4,47818,191272
946,2020-05,Lexus,ES,38,73805,2804590
947,2020-12,Audi,Allroad,1,19432,19432
948,2020-08,Chevrolet,Caprice,44,19914,876216
949,2020-02,Ford,Taurus,29,10860,314940
950,2020-11,Chevrolet,Prizm,43,67185,2888955
951,2020-02,Ferrari,612 Scaglietti,2,54262,108524
952,2020-11,Mazda,B2500,35,57215,2002525
953,2020-12,Dodge,Ram,16,32925,526800
954,2020-07,Mazda,RX-8,37,66051,2443887
955,2020-04,Honda,Civic,6,53840,323040
956,2020-08,Toyota,Sequoia,37,60739,2247343
957,2020-12,Jaguar,X-Type,39,53869,2100891
958,2020-07,Chevrolet,Blazer,23,99957,2299011
959,2020-06,Kia,Sephia,19,79047,1501893
960,2020-11,Buick,Rainier,50,57960,2898000
961,2020-08,Infiniti,G,30,64975,1949250
962,2020-08,Volkswagen,GTI,2,82399,164798
963,2020-06,Porsche,Boxster,42,18103,760326
964,2020-05,GMC,Sierra 1500,26,59551,1548326
965,2020-07,Hyundai,Azera,25,54182,1354550
966,2020-04,Geo,Tracker,17,80051,1360867
967,2020-09,Ford,Escort,20,91074,1821480
968,2020-10,Lamborghini,Countach,37,18631,689347
969,2020-04,Pontiac,Grand Prix,5,43664,218320
970,2020-04,Maserati,228,43,56075,2411225
971,2020-11,Pontiac,Grand Prix,28,51520,1442560
972,2020-01,Maserati,228,11,91768,1009448
973,2020-02,Volvo,S60,1,28022,28022
974,2020-08,Dodge,Ram 2500,43,68772,2957196
975,2020-08,Volkswagen,GTI,16,74162,1186592
976,2020-11,Land Rover,Discovery,8,98503,788024
977,2020-09,Lotus,Esprit,33,97413,3214629
978,2020-01,Toyota,Tercel,30,72553,2176590
979,2020-03,Volkswagen,Passat,42,55160,2316720
980,2020-04,Buick,LeSabre,21,17759,372939
981,2020-07,Mitsubishi,Pajero,4,48178,192712
982,2020-07,Ford,Expedition,40,38045,1521800
983,2020-08,Cadillac,Seville,9,39154,352386
984,2020-11,Audi,TT,26,18174,472524
985,2020-08,Dodge,Intrepid,11,10395,114345
986,2020-08,Hummer,H1,27,48684,1314468
987,2020-02,Pontiac,Firebird Formula,46,26006,1196276
988,2020-05,Honda,Ridgeline,22,11211,246642
989,2020-03,Pontiac,GTO,5,54994,274970
990,2020-09,Buick,Park Avenue,20,87876,1757520
991,2020-12,Honda,Prelude,49,75784,3713416
992,2020-07,Ford,Contour,14,92890,1300460
993,2020-03,Ford,Explorer,20,39337,786740
994,2020-08,Volkswagen,Golf,29,79726,2312054
995,2020-11,Infiniti,M,1,52643,52643
996,2020-08,Lincoln,MKT,2,99534,199068
997,2020-09,Acura,NSX,1,30254,30254
998,2020-11,Chevrolet,Corvette,22,31416,691152
999,2020-08,BMW,M3,37,38706,1432122
1000,2020-09,Dodge,Ram Van 2500,37,93528,3460536
1001,2020-10,Ford,Excursion,39,61516,2399124
1002,2020-02,Porsche,911,48,46259,2220432
1003,2020-03,MINI,Cooper Clubman,14,87850,1229900
1004,2020-10,Chevrolet,Equinox,36,19622,706392
1005,2020-01,Pontiac,Firebird Trans Am,46,50261,2312006
1006,2020-05,GMC,Savana 1500,17,21579,366843
1007,2020-08,Honda,Accord,22,98455,2166010
1008,2020-03,Hyundai,Elantra,18,87364,1572552
1009,2020-06,Saab,9-3,16,19380,310080
1010,2020-08,Isuzu,Amigo,19,39349,747631
1011,2020-05,Ford,Taurus X,36,73353,2640708
1012,2020-08,Infiniti,I,6,81996,491976
1013,2020-04,Volvo,960,1,58436,58436
1014,2020-05,Pontiac,Sunbird,5,42185,210925
1015,2020-04,Mercedes-Benz,C-Class,22,44315,974930
1016,2020-11,Mercury,Cougar,19,94571,1796849
1017,2020-07,Cadillac,DeVille,25,20780,519500
1018,2020-08,GMC,Vandura 3500,25,68894,1722350
1019,2020-06,GMC,Yukon,23,29979,689517
1020,2020-02,Toyota,Tercel,2,69079,138158
1021,2020-09,Lotus,Exige,47,13212,620964
1022,2020-05,Volvo,S60,43,73018,3139774
1023,2020-09,Buick,LeSabre,17,80552,1369384
1024,2020-11,Ford,Mustang,21,35280,740880
1025,2020-08,Ford,Edge,15,81312,1219680
1026,2020-12,Mitsubishi,Mighty Max Macro,17,84605,1438285
1027,2020-11,Lotus,Elan,34,47966,1630844
1028,2020-11,Lincoln,Continental,37,26046,963702
1029,2020-06,Ford,Escape,22,93862,2064964
1030,2020-12,Mitsubishi,RVR,39,13439,524121
1031,2020-05,Jaguar,XJ Series,13,66045,858585
1032,2020-03,BMW,X3,10,77839,778390
1033,2020-07,Plymouth,Breeze,32,79251,2536032
1034,2020-01,Lexus,LS,32,46576,1490432
1035,2020-02,Ford,Excursion,28,66467,1861076
1036,2020-02,Citroën,CX,6,55881,335286
1037,2020-06,Chevrolet,Beretta,40,84295,3371800
1038,2020-08,Eagle,Vision,6,95565,573390
1039,2020-03,Kia,Spectra,45,92811,4176495
1040,2020-07,Kia,Rio,22,17608,387376
1041,2020-04,Kia,Sportage,1,24907,24907
1042,2020-01,Chevrolet,APV,23,20966,482218
1043,2020-02,Cadillac,SRX,45,82186,3698370
1044,2020-09,Isuzu,Hombre Space,28,26401,739228
1045,2020-03,Volvo,S60,42,55901,2347842
1046,2020-11,Mitsubishi,Challenger,2,68207,136414
1047,2020-10,BMW,7 Series,4,43928,175712
1048,2020-07,Porsche,Cayenne,48,92845,4456560
1049,2020-07,BMW,M3,4,15268,61072
1050,2020-12,Chrysler,Crossfire,49,20594,1009106
1051,2020-10,BMW,8 Series,34,74678,2539052
1052,2020-12,Bentley,Continental GTC,17,26464,449888
1053,2020-11,Chevrolet,Monte Carlo,6,74272,445632
1054,2020-11,Dodge,Ram 1500,11,85579,941369
1055,2020-06,Plymouth,Fury,10,82338,823380
1056,2020-03,Lexus,ES,35,60456,2115960
1057,2020-03,Oldsmobile,88,48,78153,3751344
1058,2020-11,Mercedes-Benz,SLK-Class,13,43847,570011
1059,2020-12,Volkswagen,Golf,14,31698,443772
1060,2020-01,Oldsmobile,Bravada,45,48276,2172420
1061,2020-03,Infiniti,Q,28,35460,992880
1062,2020-03,GMC,Safari,9,89748,807732
1063,2020-05,Saturn,Sky,30,14415,432450
1064,2020-10,Suzuki,Forenza,32,85864,2747648
1065,2020-05,Mercury,Mountaineer,48,62153,2983344
1066,2020-07,Dodge,Stealth,31,90044,2791364
1067,2020-11,Chevrolet,Suburban 2500,27,78475,2118825
1068,2020-08,Volvo,850,25,45450,1136250
1069,2020-09,Buick,Park Avenue,5,12279,61395
